Trace1,
Freq,,Amp,,
            17583300,Hz,              -68.99, dBm,
            17914966,Hz,              -66.70, dBm,
            18246632,Hz,              -67.48, dBm,
            18578298,Hz,              -68.78, dBm,
            18909964,Hz,              -67.64, dBm,
            19241630,Hz,              -67.40, dBm,
            19573296,Hz,              -65.76, dBm,
            19904962,Hz,              -67.78, dBm,
            20236628,Hz,              -67.23, dBm,
            20568294,Hz,              -67.15, dBm,
            20899960,Hz,              -67.02, dBm,
            21231626,Hz,              -67.11, dBm,
            21563292,Hz,              -68.47, dBm,
            21894958,Hz,              -67.84, dBm,
            22226624,Hz,              -67.09, dBm,
            22558290,Hz,              -67.85, dBm,
            22889956,Hz,              -68.96, dBm,
            23221622,Hz,              -68.01, dBm,
            23553288,Hz,              -68.45, dBm,
            23884954,Hz,              -69.16, dBm,
            24216620,Hz,              -68.44, dBm,
            24548286,Hz,              -68.73, dBm,
            24879952,Hz,              -68.12, dBm,
            25211618,Hz,              -66.59, dBm,
            25543284,Hz,              -67.15, dBm,
            25874950,Hz,              -67.83, dBm,
            26206616,Hz,              -66.77, dBm,
            26538282,Hz,              -67.46, dBm,
            26869948,Hz,              -67.75, dBm,
            27201614,Hz,              -65.81, dBm,
            27533280,Hz,              -67.91, dBm,
            27864946,Hz,              -66.35, dBm,
            28196612,Hz,              -65.00, dBm,
            28528278,Hz,              -65.87, dBm,
            28859944,Hz,              -66.73, dBm,
            29191610,Hz,              -66.22, dBm,
            29523276,Hz,              -65.46, dBm,
            29854942,Hz,              -65.80, dBm,
            30186608,Hz,              -65.68, dBm,
            30518274,Hz,              -64.79, dBm,
            30849940,Hz,              -66.11, dBm,
            31181606,Hz,              -65.66, dBm,
            31513272,Hz,              -65.84, dBm,
